link,title,channel
https://www.youtube.com/watch?v=IIJ9D2Cs6Kk,Propósitos de año nuevo ¿por qué no los cumplimos? – CuriosaMente 261,CuriosaMente
https://www.youtube.com/watch?v=6Q0q7DvAduA,Sabrina Carpenter se Sincera sobre su Triángulo Amoroso con Olivia Rodrigo y Joshua Bassett,Clevver TeVe
https://www.youtube.com/watch?v=H7Ur9zk_9Ok,How True Are These Stereotypes About Latinos | Easy Spanish 204,Easy Spanish
https://www.youtube.com/watch?v=xGx1XXFzsGw,The Weeknd Divide a sus Fans con su Espectáculo de Medio Tiempo del Super Bowl,Clevver TeVe
https://www.youtube.com/watch?v=lYIKYKfOz7E,¿Qué sienten los extraterrestres? - CuriosaMente 248,CuriosaMente
https://www.youtube.com/watch?v=Yl39PRghx2c,Spanish listening comprehension practice with native speakers #17 | Bad neighbors,Use your Spanish
https://www.youtube.com/watch?v=wHE5sYWSGiU,What's Your Favourite Country? | Easy Spanish 210,Easy Spanish
https://www.youtube.com/watch?v=VAVgrwlN0TA,Demi Lovato Regresa a la Televisión con la Comedia ‘Hungry',Clevver TeVe
https://www.youtube.com/watch?v=Larklh5tTTc,What Locals Like And Dislike About Mexico City | Easy Spanish 214,Easy Spanish
https://www.youtube.com/watch?v=f41M41xEkF0,Justin Bieber Reflexiona Sobre Arresto cuando Tenía 19 Años,Clevver TeVe
https://www.youtube.com/watch?v=v5426XWRHYI,Spanish Slang Trivia Game | Easy Spanish Live 2,Easy Spanish
https://www.youtube.com/watch?v=2GDphIyeA38,What's Your Hobby? | Easy Spanish 223,Easy Spanish
https://www.youtube.com/watch?v=XhLcwUvUngM,Do People in Barcelona Prefer Markets or Supermarkets? | Easy Spanish 212,Easy Spanish
https://www.youtube.com/watch?v=h5PJBd8rob0,Kylie Jenner y Travis Scott JUNTOS Celebrando el Cumple de Stormi,Clevver TeVe
https://www.youtube.com/watch?v=ElWlbTUBrNg,¿Qué tan largo es tu ADN? (Experimento) - CuriosaMente,CuriosaMente
https://www.youtube.com/watch?v=ixAPv-4eZQg,Tell Us About Your Worst Dating Experience | Easy Spanish 217,Easy Spanish
https://www.youtube.com/watch?v=FRgyXznwbus,Learn how to conjugate verbs in Spanish in 20 minutes ________ | Lesson for beginners,Use your Spanish
https://www.youtube.com/watch?v=GExPS8q6E3E,__ Conversaciones para aprender español | Diálogos Cotidianos #2 | Nivel avanzado,Use your Spanish
https://www.youtube.com/watch?v=6lA6VngZfMI,¿Qué sabemos sobre el ALZHEIMER? - CuriosaMente 246,CuriosaMente
https://www.youtube.com/watch?v=8mSokZu2Vf0,¿Qué es la electricidad? - CuriosaMente 257,CuriosaMente
https://www.youtube.com/watch?v=Y22J5mh-vqc,¿Por qué es tan genial la GEOMETRÍA? (Con Marisol de Pasos por Ingeniería) - CuriosaMente 255,CuriosaMente
https://www.youtube.com/watch?v=Df4uhkmyNtk,6 Tips to Take Your Spanish to the Next Level | Easy Spanish 206,Easy Spanish
https://www.youtube.com/watch?v=TKib7NP8dyw,Spanish listening comprehension practice with native speakers #16 | Good & bad habits,Use your Spanish
https://www.youtube.com/watch?v=lDMQLArCOe0,¿De dónde vienen tus MIEDOS más profundos? - CuriosaMente 249,CuriosaMente
https://www.youtube.com/watch?v=qAHkYcmcFfc,Spanish People: Stereotypes vs. Reality | Easy Spanish 216,Easy Spanish
https://www.youtube.com/watch?v=rgvfepiaI9g,Fans de Selena Gomez y de Maluma se Enfrentan tras Estreno de 'Baila Conmigo',Clevver TeVe
https://www.youtube.com/watch?v=ZYGr4L7M3EU,Family and Relatives | vocabulary in Spanish | 50 terms beginners must know,Use your Spanish
https://www.youtube.com/watch?v=I9XDSRtZjTg,Cardi B Se Besa con Su Bailarina en Video UP!,Clevver TeVe
https://www.youtube.com/watch?v=xdFqL3HG3So,Improve your Spanish listening to native speakers | Dosis Cultural #5 | El camino de Santiago,Use your Spanish
https://www.youtube.com/watch?v=Au_thlJiCrY,Selena Gomez Grabó Casi Todo El Álbum ‘Revelación’ por Zoom,Clevver TeVe
https://www.youtube.com/watch?v=9uwgePh6E3w,What Do Mexicans Drink | Easy Spanish 218,Easy Spanish
https://www.youtube.com/watch?v=XimgrCB5qcQ,7 Mitos del cambio climático - CuriosaMente 253,CuriosaMente
https://www.youtube.com/watch?v=hZXbb8er5ho,9 Expressions In Spanish You MUST Know! | Easy Spanish 202,Easy Spanish
https://www.youtube.com/watch?v=kxnMi78xrEQ,¿Cómo ser divulgador de la ciencia? Reseña y ¡Libro gratis!,CuriosaMente
https://www.youtube.com/watch?v=mik_qL81hJU,Spain vs. Mexico: Typical Expressions | Easy Spanish LIVE,Easy Spanish
https://www.youtube.com/watch?v=PCQ3LZQWNWU,Ariana Grande Anuncia Nueva Música y Colaboración con... + Video Musical de '34+35 Remix,Clevver TeVe
https://www.youtube.com/watch?v=DgvYikbsaFU,Gigi y Zayn Revelan el Nombre de su Bebita! + Todas las Pistas que NO Captamos,Clevver TeVe
https://www.youtube.com/watch?v=r697lVGVdic,What Would Your Superpower Be? | Easy Spanish 209,Easy Spanish
https://www.youtube.com/watch?v=iEmu_TfucVA,Foreigners Talk About Their Culture Shocks in Spain | Easy Spanish 205,Easy Spanish
https://www.youtube.com/watch?v=d-dfciUhn5U,ARod le Fue Infiel a Jennifer Lopez con una Estrella de Telerrealidad?!,Clevver TeVe
https://www.youtube.com/watch?v=RUtb-o6KX_g,LIVE Q&A + tips to talk like a native with Easy Spanish team,Easy Spanish
https://www.youtube.com/watch?v=nedxfzIP61s,Rosalía se Presentará con The Weeknd en el Super Bowl?!,Clevver TeVe
https://www.youtube.com/watch?v=tRnOop1i8EM,Improve your Spanish with daily life stories and conversations #19 | Christmas holidays,Use your Spanish
https://www.youtube.com/watch?v=fp2Pp2QGNHk,Spanish stories for beginners explained in English #12 - Getting a haircut,Use your Spanish
